Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
output69_forward_paired	output69_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	126572.0	0.0	50-100	43.0	56.958885061466994	99.05806971526088	pass	pass	pass	pass	warn	warn	pass	warn	warn	fail	pass
output69_reverse_paired	output69_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	126572.0	0.0	50-100	42.0	58.88822172360396	98.95145845842683	pass	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
output70_forward_paired	output70_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	142272.0	0.0	50-100	42.0	56.092555105713004	99.13256297795772	pass	pass	warn	pass	warn	warn	pass	warn	warn	fail	pass
output70_reverse_paired	output70_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	142272.0	0.0	50-100	41.0	59.13602114260009	98.98165485829959	pass	pass	pass	pass	fail	warn	pass	warn	warn	fail	pass
output71_forward_paired	output71_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	136303.0	0.0	50-100	43.0	55.496210648334966	99.08618298936928	pass	pass	warn	pass	warn	warn	pass	warn	warn	fail	pass
output71_reverse_paired	output71_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	136303.0	0.0	50-100	42.0	58.02513517677528	98.92797664027938	pass	pass	pass	pass	fail	warn	pass	warn	warn	fail	pass
output72_forward_paired	output72_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	133641.0	0.0	50-100	41.0	62.515246069694186	99.12223045322918	pass	pass	warn	pass	warn	pass	pass	warn	warn	warn	pass
output72_reverse_paired	output72_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	133641.0	0.0	50-100	40.0	67.99709669936621	98.90365980499996	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
output73_forward_paired	output73_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	132950.0	0.0	50-100	41.0	61.70515231289959	99.15043249341858	pass	pass	pass	pass	warn	pass	pass	warn	warn	warn	pass
output73_reverse_paired	output73_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	132950.0	0.0	50-100	40.0	67.59608875517111	99.00717562993607	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
output74_forward_paired	output74_forward_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	120208.0	0.0	50-100	41.0	64.9590709436976	99.11049181418873	pass	pass	warn	pass	warn	pass	pass	warn	warn	warn	pass
output74_reverse_paired	output74_reverse_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	120208.0	0.0	50-100	40.0	70.84220684147478	98.8970950352722	pass	pass	pass	pass	fail	pass	pass	warn	pass	warn	pass
